sampled instance: 0, value: 183.390000, std dev:658.137900
sampled instance: 20, value: 230.590000, std dev:936.381900
sampled instance: 40, value: 242.566667, std dev:1096.138889
sampled instance: 60, value: 206.806667, std dev:1118.542622
sampled instance: 80, value: 183.213333, std dev:1065.781156
sampled instance: 100, value: 171.816667, std dev:1011.869722
sampled instance: 120, value: 166.783333, std dev:1004.376389
sampled instance: 140, value: 162.596667, std dev:978.827322
sampled instance: 160, value: 160.653333, std dev:993.186489
sampled instance: 180, value: 159.440000, std dev:1006.886400
sampled instance: 200, value: 158.200000, std dev:1009.200000
sampled instance: 220, value: 157.163333, std dev:1003.269989
sampled instance: 240, value: 156.353333, std dev:998.441822
sampled instance: 260, value: 156.766667, std dev:1004.885556
sampled instance: 280, value: 157.656667, std dev:1005.858789
sampled instance: 300, value: 158.643333, std dev:1007.982789
sampled instance: 320, value: 159.033333, std dev:999.105556
sampled instance: 340, value: 157.913333, std dev:1003.425822
sampled instance: 360, value: 157.640000, std dev:998.590400
sampled instance: 380, value: 157.973333, std dev:996.119289
sampled instance: 400, value: 158.286667, std dev:995.244489
sampled instance: 420, value: 158.653333, std dev:995.633156
sampled instance: 440, value: 158.390000, std dev:997.284567
sampled instance: 460, value: 156.406667, std dev:995.747956
sampled instance: 480, value: 157.340000, std dev:996.191067
sampled instance: 500, value: 158.120000, std dev:1000.605600
sampled instance: 520, value: 158.086667, std dev:999.665822
sampled instance: 540, value: 156.600000, std dev:1001.160000
sampled instance: 560, value: 157.073333, std dev:1003.527956
sampled instance: 580, value: 155.763333, std dev:993.693989
sampled instance: 600, value: 155.890000, std dev:990.804567
sampled instance: 620, value: 155.190000, std dev:990.213900
sampled instance: 640, value: 154.913333, std dev:991.519156
sampled instance: 660, value: 157.143333, std dev:993.956122
sampled instance: 680, value: 156.793333, std dev:988.063956
sampled instance: 700, value: 157.183333, std dev:996.909722
sampled instance: 720, value: 157.103333, std dev:993.352656
sampled instance: 740, value: 157.510000, std dev:999.563233
